,week,state,state_name,disease,cases,incidence_per_capita
174,196606,NY,NEW YORK,RUBELLA,76,0.43
175,196606,OH,OHIO,RUBELLA,29,0.28
176,196606,OR,OREGON,RUBELLA,28,1.42
177,196606,RI,RHODE ISLAND,RUBELLA,9,1.0
178,196606,SC,SOUTH CAROLINA,RUBELLA,1,0.04
179,196606,TN,TENNESSEE,RUBELLA,47,1.23
180,196606,UT,UTAH,RUBELLA,2,0.2
181,196606,VA,VIRGINIA,RUBELLA,3,0.07
182,196606,VT,VERMONT,RUBELLA,7,1.69
183,196606,WA,WASHINGTON,RUBELLA,108,3.53
184,196606,WI,WISCONSIN,RUBELLA,141,3.3
185,196606,WV,WEST VIRGINIA,RUBELLA,17,0.96
186,196607,AK,ALASKA,RUBELLA,1,0.37
187,196607,AL,ALABAMA,RUBELLA,1,0.03
188,196607,AZ,ARIZONA,RUBELLA,101,6.26
189,196607,CA,CALIFORNIA,RUBELLA,74,0.39
190,196607,CO,COLORADO,RUBELLA,16,0.8
191,196607,CT,CONNECTICUT,RUBELLA,44,1.52
192,196607,DE,DELAWARE,RUBELLA,2,0.39
193,196607,FL,FLORIDA,RUBELLA,7,0.11
194,196607,HI,HAWAII,RUBELLA,2,0.28
195,196607,IA,IOWA,RUBELLA,43,1.56
196,196607,ID,IDAHO,RUBELLA,8,1.16
197,196607,IL,ILLINOIS,RUBELLA,104,0.96
198,196607,IN,INDIANA,RUBELLA,124,2.48
199,196607,KY,KENTUCKY,RUBELLA,132,4.19
200,196607,MA,MASSACHUSETTS,RUBELLA,53,0.96
201,196607,MD,MARYLAND,RUBELLA,19,0.51
202,196607,ME,MAINE,RUBELLA,10,1.0
203,196607,MI,MICHIGAN,RUBELLA,91,1.07
204,196607,MN,MINNESOTA,RUBELLA,1,0.03
205,196607,MT,MONTANA,RUBELLA,1,0.14
206,196607,ND,NORTH DAKOTA,RUBELLA,4,0.62
207,196607,NH,NEW HAMPSHIRE,RUBELLA,1,0.15
208,196607,NY,NEW YORK,RUBELLA,66,0.37
209,196607,OH,OHIO,RUBELLA,36,0.35
210,196607,OR,OREGON,RUBELLA,37,1.88
211,196607,RI,RHODE ISLAND,RUBELLA,3,0.33
212,196607,SC,SOUTH CAROLINA,RUBELLA,10,0.4
213,196607,TN,TENNESSEE,RUBELLA,84,2.2
214,196607,TX,TEXAS,RUBELLA,6,0.06
215,196607,UT,UTAH,RUBELLA,4,0.4
216,196607,VA,VIRGINIA,RUBELLA,12,0.27
217,196607,VT,VERMONT,RUBELLA,5,1.21
218,196607,WA,WASHINGTON,RUBELLA,153,5.0
219,196607,WI,WISCONSIN,RUBELLA,128,2.99
220,196607,WV,WEST VIRGINIA,RUBELLA,63,3.55
221,196608,AK,ALASKA,RUBELLA,1,0.37
222,196608,AL,ALABAMA,RUBELLA,3,0.09
223,196608,AZ,ARIZONA,RUBELLA,83,5.14
224,196608,CA,CALIFORNIA,RUBELLA,67,0.36
225,196608,CO,COLORADO,RUBELLA,22,1.1
226,196608,CT,CONNECTICUT,RUBELLA,40,1.38
227,196608,DE,DELAWARE,RUBELLA,1,0.19
228,196608,FL,FLORIDA,RUBELLA,25,0.41
229,196608,IA,IOWA,RUBELLA,52,1.88
230,196608,ID,IDAHO,RUBELLA,8,1.16
231,196608,IL,ILLINOIS,RUBELLA,87,0.8
232,196608,IN,INDIANA,RUBELLA,54,1.08
233,196608,KY,KENTUCKY,RUBELLA,95,3.02
234,196608,MA,MASSACHUSETTS,RUBELLA,13,0.23
235,196608,MD,MARYLAND,RUBELLA,1,0.03
236,196608,ME,MAINE,RUBELLA,9,0.9
237,196608,MI,MICHIGAN,RUBELLA,64,0.75
238,196608,MN,MINNESOTA,RUBELLA,5,0.14
239,196608,MO,MISSOURI,RUBELLA,3,0.07
240,196608,MT,MONTANA,RUBELLA,4,0.57
241,196608,ND,NORTH DAKOTA,RUBELLA,8,1.24
242,196608,NY,NEW YORK,RUBELLA,57,0.32
243,196608,OH,OHIO,RUBELLA,37,0.36
244,196608,OR,OREGON,RUBELLA,34,1.73
245,196608,RI,RHODE ISLAND,RUBELLA,1,0.11
246,196608,SC,SOUTH CAROLINA,RUBELLA,4,0.16
247,196608,TN,TENNESSEE,RUBELLA,39,1.02
248,196608,UT,UTAH,RUBELLA,2,0.2
249,196608,VA,VIRGINIA,RUBELLA,33,0.74
250,196608,VT,VERMONT,RUBELLA,2,0.48
251,196608,WA,WASHINGTON,RUBELLA,93,3.04
252,196608,WI,WISCONSIN,RUBELLA,193,4.52
253,196608,WV,WEST VIRGINIA,RUBELLA,37,2.08
254,196609,AK,ALASKA,RUBELLA,2,0.74
255,196609,AL,ALABAMA,RUBELLA,3,0.09
256,196609,AZ,ARIZONA,RUBELLA,114,7.06
257,196609,CA,CALIFORNIA,RUBELLA,124,0.66
258,196609,CO,COLORADO,RUBELLA,15,0.75
259,196609,CT,CONNECTICUT,RUBELLA,99,3.41
260,196609,DE,DELAWARE,RUBELLA,1,0.19
261,196609,FL,FLORIDA,RUBELLA,43,0.7
262,196609,HI,HAWAII,RUBELLA,6,0.85
263,196609,IA,IOWA,RUBELLA,52,1.88
264,196609,IL,ILLINOIS,RUBELLA,81,0.75
265,196609,IN,INDIANA,RUBELLA,71,1.42
266,196609,KY,KENTUCKY,RUBELLA,17,0.54
267,196609,MA,MASSACHUSETTS,RUBELLA,43,0.78
268,196609,MD,MARYLAND,RUBELLA,17,0.46
269,196609,ME,MAINE,RUBELLA,3,0.3
270,196609,MI,MICHIGAN,RUBELLA,161,1.89
271,196609,MN,MINNESOTA,RUBELLA,6,0.17
272,196609,MT,MONTANA,RUBELLA,6,0.85
273,196609,ND,NORTH DAKOTA,RUBELLA,1,0.15
274,196609,NH,NEW HAMPSHIRE,RUBELLA,7,1.03
275,196609,NY,NEW YORK,RUBELLA,68,0.38
276,196609,OH,OHIO,RUBELLA,44,0.43
277,196609,OR,OREGON,RUBELLA,26,1.32
278,196609,SC,SOUTH CAROLINA,RUBELLA,18,0.71
279,196609,TN,TENNESSEE,RUBELLA,61,1.6
280,196609,UT,UTAH,RUBELLA,5,0.5
281,196609,VA,VIRGINIA,RUBELLA,13,0.29
282,196609,VT,VERMONT,RUBELLA,5,1.21
283,196609,WA,WASHINGTON,RUBELLA,186,6.08
284,196609,WI,WISCONSIN,RUBELLA,176,4.12
285,196609,WV,WEST VIRGINIA,RUBELLA,11,0.62
286,196610,AK,ALASKA,RUBELLA,3,1.11
287,196610,AL,ALABAMA,RUBELLA,7,0.2
288,196610,AZ,ARIZONA,RUBELLA,161,9.98
289,196610,CA,CALIFORNIA,RUBELLA,133,0.71
290,196610,CO,COLORADO,RUBELLA,19,0.95
291,196610,CT,CONNECTICUT,RUBELLA,84,2.89
292,196610,DE,DELAWARE,RUBELLA,2,0.39
293,196610,FL,FLORIDA,RUBELLA,42,0.69
294,196610,HI,HAWAII,RUBELLA,2,0.28
295,196610,IA,IOWA,RUBELLA,39,1.41
296,196610,ID,IDAHO,RUBELLA,12,1.74
297,196610,IL,ILLINOIS,RUBELLA,141,1.3
298,196610,IN,INDIANA,RUBELLA,87,1.74
299,196610,KY,KENTUCKY,RUBELLA,71,2.26
300,196610,MA,MASSACHUSETTS,RUBELLA,26,0.47
301,196610,MD,MARYLAND,RUBELLA,5,0.14
302,196610,ME,MAINE,RUBELLA,12,1.2
303,196610,MI,MICHIGAN,RUBELLA,128,1.5
304,196610,MN,MINNESOTA,RUBELLA,3,0.08
305,196610,MT,MONTANA,RUBELLA,9,1.27
306,196610,ND,NORTH DAKOTA,RUBELLA,1,0.15
307,196610,NH,NEW HAMPSHIRE,RUBELLA,14,2.06
308,196610,NY,NEW YORK,RUBELLA,85,0.48
309,196610,OH,OHIO,RUBELLA,41,0.4
310,196610,OR,OREGON,RUBELLA,42,2.13
311,196610,PA,PENNSYLVANIA,RUBELLA,3,0.03
312,196610,RI,RHODE ISLAND,RUBELLA,4,0.44
313,196610,SC,SOUTH CAROLINA,RUBELLA,18,0.71
314,196610,TN,TENNESSEE,RUBELLA,65,1.7
315,196610,TX,TEXAS,RUBELLA,2,0.02
316,196610,UT,UTAH,RUBELLA,6,0.59
317,196610,VA,VIRGINIA,RUBELLA,62,1.39
318,196610,VT,VERMONT,RUBELLA,3,0.73
319,196610,WA,WASHINGTON,RUBELLA,112,3.66
320,196610,WI,WISCONSIN,RUBELLA,187,4.38
321,196610,WV,WEST VIRGINIA,RUBELLA,96,5.41
322,196611,AK,ALASKA,RUBELLA,2,0.74
323,196611,AZ,ARIZONA,RUBELLA,150,9.29
324,196611,CA,CALIFORNIA,RUBELLA,115,0.61
325,196611,CO,COLORADO,RUBELLA,19,0.95
326,196611,CT,CONNECTICUT,RUBELLA,110,3.79
327,196611,DE,DELAWARE,RUBELLA,6,1.16
328,196611,FL,FLORIDA,RUBELLA,32,0.52
329,196611,HI,HAWAII,RUBELLA,4,0.56
330,196611,IA,IOWA,RUBELLA,105,3.8
331,196611,ID,IDAHO,RUBELLA,5,0.73
332,196611,IL,ILLINOIS,RUBELLA,183,1.69
333,196611,IN,INDIANA,RUBELLA,89,1.78
334,196611,KY,KENTUCKY,RUBELLA,185,5.88
335,196611,MA,MASSACHUSETTS,RUBELLA,74,1.34
336,196611,MD,MARYLAND,RUBELLA,35,0.95
337,196611,ME,MAINE,RUBELLA,6,0.6
338,196611,MI,MICHIGAN,RUBELLA,53,0.62
339,196611,MN,MINNESOTA,RUBELLA,16,0.44
340,196611,MT,MONTANA,RUBELLA,5,0.71
341,196611,ND,NORTH DAKOTA,RUBELLA,5,0.77
342,196611,NH,NEW HAMPSHIRE,RUBELLA,16,2.35
343,196611,NY,NEW YORK,RUBELLA,104,0.58
344,196611,OH,OHIO,RUBELLA,22,0.21
345,196611,OR,OREGON,RUBELLA,24,1.22
346,196611,PA,PENNSYLVANIA,RUBELLA,3,0.03
347,196611,RI,RHODE ISLAND,RUBELLA,3,0.33
348,196611,SC,SOUTH CAROLINA,RUBELLA,21,0.83
349,196611,TN,TENNESSEE,RUBELLA,82,2.15
350,196611,TX,TEXAS,RUBELLA,1,0.01
351,196611,UT,UTAH,RUBELLA,1,0.1
352,196611,VA,VIRGINIA,RUBELLA,55,1.23
353,196611,WA,WASHINGTON,RUBELLA,109,3.57
354,196611,WI,WISCONSIN,RUBELLA,236,5.52
355,196611,WV,WEST VIRGINIA,RUBELLA,31,1.75
356,196611,WY,WYOMING,RUBELLA,3,0.93
357,196612,AK,ALASKA,RUBELLA,2,0.74
358,196612,AL,ALABAMA,RUBELLA,4,0.12
359,196612,AZ,ARIZONA,RUBELLA,135,8.36
360,196612,CA,CALIFORNIA,RUBELLA,203,1.08
361,196612,CO,COLORADO,RUBELLA,35,1.74
362,196612,CT,CONNECTICUT,RUBELLA,87,3.0
363,196612,DE,DELAWARE,RUBELLA,2,0.39
364,196612,FL,FLORIDA,RUBELLA,116,1.9
365,196612,HI,HAWAII,RUBELLA,5,0.7
366,196612,IA,IOWA,RUBELLA,68,2.46
367,196612,ID,IDAHO,RUBELLA,11,1.6
368,196612,IL,ILLINOIS,RUBELLA,107,0.99
369,196612,IN,INDIANA,RUBELLA,89,1.78
370,196612,KY,KENTUCKY,RUBELLA,48,1.53
371,196612,MA,MASSACHUSETTS,RUBELLA,57,1.03
372,196612,MD,MARYLAND,RUBELLA,36,0.97
373,196612,ME,MAINE,RUBELLA,3,0.3
374,196612,MI,MICHIGAN,RUBELLA,124,1.46
375,196612,MO,MISSOURI,RUBELLA,2,0.04
376,196612,MT,MONTANA,RUBELLA,151,21.36
377,196612,ND,NORTH DAKOTA,RUBELLA,3,0.46
378,196612,NY,NEW YORK,RUBELLA,149,0.84
379,196612,OH,OHIO,RUBELLA,65,0.63
380,196612,OR,OREGON,RUBELLA,38,1.93
381,196612,PA,PENNSYLVANIA,RUBELLA,6,0.05
382,196612,RI,RHODE ISLAND,RUBELLA,4,0.44
383,196612,SC,SOUTH CAROLINA,RUBELLA,42,1.67
384,196612,TN,TENNESSEE,RUBELLA,77,2.01
385,196612,TX,TEXAS,RUBELLA,18,0.17
386,196612,UT,UTAH,RUBELLA,3,0.3
387,196612,VA,VIRGINIA,RUBELLA,98,2.2
388,196612,VT,VERMONT,RUBELLA,4,0.97
389,196612,WA,WASHINGTON,RUBELLA,105,3.43
390,196612,WI,WISCONSIN,RUBELLA,244,5.71
391,196612,WV,WEST VIRGINIA,RUBELLA,34,1.92
392,196613,AK,ALASKA,RUBELLA,5,1.85
393,196613,AL,ALABAMA,RUBELLA,5,0.14
394,196613,AZ,ARIZONA,RUBELLA,82,5.08
395,196613,CA,CALIFORNIA,RUBELLA,131,0.69
396,196613,CO,COLORADO,RUBELLA,15,0.75
397,196613,CT,CONNECTICUT,RUBELLA,107,3.69
398,196613,DE,DELAWARE,RUBELLA,3,0.58
399,196613,FL,FLORIDA,RUBELLA,60,0.98
400,196613,HI,HAWAII,RUBELLA,8,1.13
401,196613,IA,IOWA,RUBELLA,44,1.59
402,196613,ID,IDAHO,RUBELLA,16,2.32
403,196613,IL,ILLINOIS,RUBELLA,91,0.84
404,196613,IN,INDIANA,RUBELLA,74,1.48
405,196613,KY,KENTUCKY,RUBELLA,55,1.75
406,196613,MA,MASSACHUSETTS,RUBELLA,92,1.66
407,196613,MD,MARYLAND,RUBELLA,9,0.24
408,196613,ME,MAINE,RUBELLA,11,1.1
