,week,state,state_name,disease,cases,incidence_per_capita
219,192805,VT,VERMONT,SMALLPOX,0,0.0
220,192805,WA,WASHINGTON,SMALLPOX,40,2.58
221,192805,WI,WISCONSIN,SMALLPOX,35,1.2
222,192805,WV,WEST VIRGINIA,SMALLPOX,13,0.77
223,192805,WY,WYOMING,SMALLPOX,6,2.73
224,192806,AL,ALABAMA,SMALLPOX,10,0.38
225,192806,AR,ARKANSAS,SMALLPOX,10,0.54
226,192806,AZ,ARIZONA,SMALLPOX,16,3.79
227,192806,CA,CALIFORNIA,SMALLPOX,20,0.37
228,192806,CO,COLORADO,SMALLPOX,14,1.38
229,192806,CT,CONNECTICUT,SMALLPOX,6,0.38
230,192806,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0
231,192806,DE,DELAWARE,SMALLPOX,0,0.0
232,192806,FL,FLORIDA,SMALLPOX,10,0.7
233,192806,GA,GEORGIA,SMALLPOX,0,0.0
234,192806,IA,IOWA,SMALLPOX,66,2.69
235,192806,IL,ILLINOIS,SMALLPOX,42,0.55
236,192806,IN,INDIANA,SMALLPOX,101,3.14
237,192806,KS,KANSAS,SMALLPOX,109,5.89
238,192806,KY,KENTUCKY,SMALLPOX,13,0.51
239,192806,LA,LOUISIANA,SMALLPOX,23,1.11
240,192806,MA,MASSACHUSETTS,SMALLPOX,0,0.0
241,192806,MD,MARYLAND,SMALLPOX,0,0.0
242,192806,ME,MAINE,SMALLPOX,0,0.0
243,192806,MI,MICHIGAN,SMALLPOX,32,0.69
244,192806,MN,MINNESOTA,SMALLPOX,1,0.04
245,192806,MO,MISSOURI,SMALLPOX,62,1.72
246,192806,MS,MISSISSIPPI,SMALLPOX,11,0.56
247,192806,MT,MONTANA,SMALLPOX,27,4.99
248,192806,NC,NORTH CAROLINA,SMALLPOX,142,4.61
249,192806,ND,NORTH DAKOTA,SMALLPOX,3,0.45
250,192806,NE,NEBRASKA,SMALLPOX,53,3.87
251,192806,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0
252,192806,NJ,NEW JERSEY,SMALLPOX,1,0.03
253,192806,NM,NEW MEXICO,SMALLPOX,0,0.0
254,192806,NY,NEW YORK,SMALLPOX,16,0.14
255,192806,OH,OHIO,SMALLPOX,27,0.41
256,192806,OK,OKLAHOMA,SMALLPOX,135,5.76
257,192806,OR,OREGON,SMALLPOX,44,4.7
258,192806,PA,PENNSYLVANIA,SMALLPOX,0,0.0
259,192806,RI,RHODE ISLAND,SMALLPOX,0,0.0
260,192806,SC,SOUTH CAROLINA,SMALLPOX,15,0.86
261,192806,SD,SOUTH DAKOTA,SMALLPOX,9,1.31
262,192806,TN,TENNESSEE,SMALLPOX,10,0.38
263,192806,TX,TEXAS,SMALLPOX,120,2.11
264,192806,UT,UTAH,SMALLPOX,4,0.79
265,192806,VA,VIRGINIA,SMALLPOX,0,0.0
266,192806,VT,VERMONT,SMALLPOX,0,0.0
267,192806,WA,WASHINGTON,SMALLPOX,70,4.51
268,192806,WI,WISCONSIN,SMALLPOX,14,0.48
269,192806,WV,WEST VIRGINIA,SMALLPOX,41,2.42
270,192806,WY,WYOMING,SMALLPOX,2,0.91
271,192807,AL,ALABAMA,SMALLPOX,4,0.15
272,192807,AR,ARKANSAS,SMALLPOX,0,0.0
273,192807,AZ,ARIZONA,SMALLPOX,28,6.64
274,192807,CA,CALIFORNIA,SMALLPOX,18,0.34
275,192807,CO,COLORADO,SMALLPOX,9,0.89
276,192807,CT,CONNECTICUT,SMALLPOX,1,0.06
277,192807,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0
278,192807,DE,DELAWARE,SMALLPOX,0,0.0
279,192807,FL,FLORIDA,SMALLPOX,2,0.14
280,192807,GA,GEORGIA,SMALLPOX,0,0.0
281,192807,IA,IOWA,SMALLPOX,98,4.0
